model,contrast,target_budget_seconds,reference_budget_seconds,subject_id,delta_balanced_accuracy,delta_macro_f1,delta_low_recall,delta_high_recall,delta_precision,delta_accuracy
xgboost,600s_minus_300s,600,300,c060c06a,0.007032489762782035,0.006617372883909178,0.033527110598135956,-0.019462131072571998,0.00017621911863385797,0.00497240333795923
xgboost,600s_minus_300s,600,300,c112918e,0.022192303397083335,0.03005027412074268,-0.0027952826856498802,0.04717988947981688,-0.0037390940413942753,0.015370733553319305
xgboost,600s_minus_300s,600,300,c1a150b1,-0.014699844574055931,-0.006224437880504308,0.005855581153724643,-0.03525527030183628,0.03521324528307157,0.017313431290915005
xgboost,600s_minus_300s,600,300,d0724095,-0.0018436546611344529,-0.003874491497844912,-0.016488104063177578,0.012800794740908894,-0.005695598087428921,-0.006310891977546973
xgboost,600s_minus_300s,600,300,d0e2d025,0.008757151002229957,0.006657355418524746,0.016132830558798883,0.00138147144566092,-0.010882229941041932,0.00020386234119085245
xgboost,600s_minus_300s,600,300,d111e017,0.0,0.0,0.0,0.0,0.0,0.0
xgboost,600s_minus_300s,600,300,d142d110,-0.023817343029165716,-0.03529739983697222,-0.0630541871921183,0.015419501133786762,-0.041792493221064486,-0.03509256700746077
xgboost,600s_minus_300s,600,300,d151b0c4,0.0014805190488043074,0.008420604424412281,-0.004810987404000544,0.007772025501608937,0.004155073900729445,0.007867010257977536
xgboost,600s_minus_300s,600,300,d18000a3,0.0064075535731491495,0.007274633018381493,-0.003034479921000588,0.01584958706729933,0.004848560030902838,0.006904463210474776
xgboost,600s_minus_300s,600,300,e0c0408a,0.007188160676532829,0.013275409206453648,0.032558139534883734,-0.018181818181818188,0.0049658444022770976,0.015384615384615552
xgboost,600s_minus_300s,600,300,f0f2a1e1,0.0006697696302695455,0.002964323028239124,0.009569377990430561,-0.008229838729891359,0.003844921316144556,0.0041000271076172545
xgboost,600s_minus_300s,600,300,f121f1e0,0.007932940049186543,0.013549973271797078,-0.022119671539951535,0.03798555163832473,0.0038319960207575665,0.015028778974865653
xgboost,600s_minus_300s,600,300,f1a0c120,-0.024136813650503464,-0.015069806903449168,0.03001309047358136,-0.07828671777458851,0.002912776750920276,-0.0005802041661879809
xgboost,600s_minus_300s,600,300,f1d06060,0.019101537605320074,0.03340639263100764,-0.025756195335277066,0.06395927054591721,0.0006362279734766219,0.03502623577626851
xgboost,900s_minus_300s,900,300,0001508a,0.04549986392687555,0.04818957025678272,0.040035563302927124,0.050964164550823976,0.003995168778555436,0.021386698775165858
xgboost,900s_minus_300s,900,300,0012905a,0.030221916130261484,0.039918769535370324,-0.016660760485747828,0.07710459274627135,0.013949020788192268,0.03262591569028983
xgboost,900s_minus_300s,900,300,0110f12e,-0.0008571937661949747,6.913905258987274e-05,-0.008672153427448648,0.0069577658950585874,-0.006000732184271107,-0.001113080260636612
xgboost,900s_minus_300s,900,300,0182e16c,0.0883967725755348,0.09906332870675194,0.13289802338586432,0.04389552176520506,0.0007915301950386366,0.0739097744549746
xgboost,900s_minus_300s,900,300,01c2a0d8,0.016878638294171355,0.02546301675355811,0.033478147737785235,0.0002791288505572531,-0.0015380093848240683,0.02598976697117994
xgboost,900s_minus_300s,900,300,1081b177,-0.007197021898591283,-0.007275353067946355,-0.03802743029220035,0.02363338649501734,0.0005165828601740863,-0.004580604579216829
xgboost,900s_minus_300s,900,300,20201194,0.004916524344018791,0.004757749048938886,-0.04068422504352143,0.050517273731559564,0.003516161580158106,0.008112783669565804
xgboost,900s_minus_300s,900,300,2162c09e,-0.0009788141739139888,0.008775954116010953,-0.012539650431391824,0.010582022083563514,0.01277160851426773,0.011445376847644684
xgboost,900s_minus_300s,900,300,2182c1cd,0.0121379020560618,0.014653219407129603,0.025303518160249894,-0.0010277140481264047,0.005878616030866368,0.01193671999792878
xgboost,900s_minus_300s,900,300,219060fa,0.003227342253343757,0.007045258024272805,-0.011325734282220501,0.01778041878890768,4.7458350238449576e-05,0.003433996245256754
xgboost,900s_minus_300s,900,300,21a031f6,0.0054974913038292605,0.024796601906790117,0.10962975293969868,-0.09863477033204038,0.01668695057391112,0.03308498373369817
xgboost,900s_minus_300s,900,300,30908049,0.01524149019443699,0.023052492542294245,-0.020933683306821216,0.051416663695695086,-0.005556702456432805,0.013660640477252128
xgboost,900s_minus_300s,900,300,30c140ca,-0.04425583330710792,-0.060448368908944006,-0.011346770305547649,-0.07716489630866785,-0.015801829286146707,-0.047979825024526135
xgboost,900s_minus_300s,900,300,3110e0c7,-0.002440507913165524,-0.0012203939127996,-0.01993640800848373,0.015055392182152572,0.00041067251714510533,0.00042332828955571333
