temporal_model,tabular_model,outer_fold,pm,subject_id,delta_balanced_accuracy_temporal_minus_tabular,delta_f1_temporal_minus_tabular,delta_roc_auc_temporal_minus_tabular,delta_pr_auc_temporal_minus_tabular,delta_low_recall_temporal_minus_tabular,delta_high_recall_temporal_minus_tabular,delta_precision_temporal_minus_tabular,delta_accuracy_temporal_minus_tabular
torch_lstm,lightgbm,1,relaxation,81f1f0fe,-0.038139287098023944,-0.04702428021995397,-0.01983242929097251,-0.030262174281323384,-0.0818965517241379,0.00561797752808979,-0.01907192183451456,-0.04390243902439028
torch_lstm,lightgbm,1,relaxation,a1721173,-0.014213265714666967,-0.0009865446550656465,0.021353263045509108,0.010998041742355413,0.03937007874015741,-0.06779661016949146,0.023482450887547968,0.005376344086021501
torch_lstm,lightgbm,1,relaxation,c060c06a,-0.020097286226318456,-0.03396685465741456,-0.12698412698412698,-0.022319804197505566,-0.0322580645161291,-0.00793650793650802,-0.2519713261648745,-0.010600706713780883
torch_lstm,lightgbm,1,relaxation,c112918e,-0.015936254980079667,-0.034079587596092975,0.019753322041176524,0.020290483360724143,-0.0318725099601593,0.0,-0.5039579907864138,-0.013675213675213738
torch_lstm,lightgbm,1,relaxation,d111e017,-0.0958762071707221,-0.10340678186707608,-0.04680358396607587,-0.03475972558542961,0.004640371229698403,-0.19639278557114226,-0.08586313664319611,-0.10322580645161283
torch_lstm,lightgbm,1,relaxation,f1d06060,-0.0007776591299503144,-0.004937424257828171,-0.04761130971725713,-0.08485826824114451,-0.012605042016806733,0.011049723756906049,0.01091705338851956,-0.0023866348448687846
torch_lstm,lightgbm,1,interest,30c140ca,0.29834834834834845,0.2277056012546122,0.2947447447447447,0.0697112464020517,0.17777777777777776,0.41891891891891897,0.2048950239945122,0.2296511627906977
torch_lstm,lightgbm,1,interest,3110e0c7,0.06420454545454546,0.0119015538328896,0.13039772727272725,0.20416604543993278,-0.16249999999999998,0.290909090909091,0.10581858983902082,0.022222222222222143
torch_lstm,lightgbm,1,interest,40f0714a,0.012499999999999956,0.005490075478247536,-0.14531249999999996,-0.226763049968297,-0.15000000000000002,0.17500000000000004,-0.16837207468307014,-0.04166666666666663
torch_lstm,lightgbm,1,interest,7150e10a,-0.008928571428571397,-0.004043714859896186,-0.016637089618456113,-0.009870705293680504,-0.017857142857142794,0.0,-0.016587548516896367,-0.004608294930875501
torch_lstm,lightgbm,1,interest,71f0603f,-0.0609195640605672,-0.06591388687581579,-0.05779583825734802,-0.04062811752039397,-0.011527377521613813,-0.11031175059952048,-0.05388364184147865,-0.0654450261780104
torch_lstm,lightgbm,1,interest,81f1f0fe,-0.182687297702692,-0.18225870068301586,-0.3053919633693849,-0.2765333376020632,-0.4490566037735849,0.08368200836820083,-0.23222548028447187,-0.1964285714285714
torch_lstm,lightgbm,1,interest,a1721173,-0.10443660816795142,-0.17905662946383272,-0.09873708381171076,-0.08973066736512603,-0.6044776119402986,0.3956043956043954,-0.1379142300194932,-0.19999999999999996
torch_lstm,lightgbm,1,interest,c060c06a,-0.056164829795320115,-0.0616144268333404,-0.04848254519789341,-0.02808191262954718,-0.10619469026548672,-0.006134969325153339,-0.0397464395159739,-0.047101449275362306
torch_lstm,lightgbm,1,interest,c112918e,0.023272239930454908,0.04873321452157581,0.03084250941756006,0.05873729656870552,0.0514705882352941,-0.0049261083743842304,-0.009249749869389978,0.027368421052631597
