temporal_model,tabular_model,outer_fold,pm,delta_balanced_accuracy_temporal_minus_tabular,delta_f1_temporal_minus_tabular,delta_roc_auc_temporal_minus_tabular,delta_pr_auc_temporal_minus_tabular,delta_low_recall_temporal_minus_tabular,delta_high_recall_temporal_minus_tabular,delta_precision_temporal_minus_tabular,delta_accuracy_temporal_minus_tabular
torch_lstm,xgboost,1,interest,-0.057535348050634316,-0.07210804795348202,-0.044374577776410185,-0.037771880585906636,-0.175537470274439,0.06046677417317048,-0.0734491054644616,-0.0714753473577866
torch_lstm,xgboost,1,focus,0.06725476707402478,0.06901221300257188,0.07105224995414139,0.08005240588292828,0.09744306755413379,0.0370664665939161,0.0408135330011713,0.08342626396328146
torch_lstm,xgboost,2,attention,-0.0068965537560234935,0.0043447818697957,-0.029610270160675967,-0.04711334460140815,0.008737400475667845,-0.022530507987714943,-0.031044522401585728,0.002701266810213987
torch_lstm,xgboost,2,engagement,-0.06965497804325416,-0.07769653861844228,-0.06667688855707543,-0.036620401184307316,-0.0794289044060329,-0.059881051680475195,-0.05914433771711358,-0.06687745075083118
torch_lstm,xgboost,2,excitement,0.0026645175809895116,0.006843785997797003,0.0003334527783718233,0.016356186972486753,0.011514332594548815,-0.006185297432570236,0.006914207802029004,0.0047612688587115315
torch_lstm,xgboost,2,stress,-0.01678196887508554,-0.023669797924938174,-0.02822924586775477,-0.023875414278657026,-0.01865617985229351,-0.018757502867233766,-0.014901945444676268,-0.025535727856943247
torch_lstm,xgboost,2,relaxation,-0.05431845658520873,-0.0677419367206431,-0.0355451945713231,-0.023786937448139867,-0.12320853170094859,0.014571618530530905,-0.04041379157722669,-0.0582534245317744
torch_lstm,xgboost,2,interest,-0.07093208683278329,-0.056742662898599194,-0.08930508022550032,-0.0697373700522218,0.023594907831016587,-0.16545908149658306,-0.0638176498200228,-0.044247692826787866
torch_lstm,xgboost,2,focus,0.045986999648524485,0.03472636312058808,0.07559950350896216,0.06922036144976418,0.13219292410760597,-0.040218924810557,0.0390668017102167,0.03147659462120633
torch_lstm,xgboost,3,attention,-0.11894652188442423,-0.13358467372917204,-0.14634823817381437,-0.07931965559223642,-0.11171822284134814,-0.12617482092750043,-0.06787651301319297,-0.11571343231830244
torch_lstm,xgboost,3,engagement,-0.02360506665441553,-0.04235999396508883,-0.019290596837667096,-0.01902721774789662,0.007537011275645433,-0.05474714458447694,-0.052159095262048316,-0.02926365915752871
